course_code,course_title,prerequisite,prerequisite_status,prerequisite_codes
MGMT101,Essentials of Business Management,Nil,none,[]
DATA802,Inter-Desciplinary Project,NIL,none,[]
PSCY102/ECON105,Introduction to Psychology/Principles of Economics,NIL,none,[]
DATA803,Capstone Project/ Industrial Internship,NIL,none,[]
UCOR107,Communication Skills,Nil,none,[]
MATH210,Advanced Statistical Analysis and Research Methods,MATH203,specified,['MATH203']
COMP133,Design Workshop,Nil,none,[]
COMP211,Operating Systems,Nil,none,[]
COMP208,Networks,Nil,none,[]
TBA,Compiler Design,Nil,none,[]
PSYC105/ECON106,Introduction to Psychology/Principles of Economics,NIL,none,[]
