academic_structure,semester,course_code,course_title,prerequisite,prerequisite_status,credits,basket_code,basket_name,source_sheet,source_row
Sem_Spread_DS_2026,S2,MTSC211,Sustainable Smart Materials,MTSC111,specified,3,B2,Foundation,Sem_Spread_DS_2026,8
Sem_Spread_DS_2026,S4,MATH210,Advanced Statistical Analysis and Research Methods,MATH203,specified,3,B2,Foundation,Sem_Spread_DS_2026,8
Sem_Spread_DS_2026,S1,MTSC111,Materials for Smart Devices,Nil,none,3,B2,Foundation,Sem_Spread_DS_2026,9
Sem_Spread_DS_2026,S2,COMP133,Design Workshop,Nil,none,3,B2,Foundation,Sem_Spread_DS_2026,9
Sem_Spread_DS_2026,S1,DATA103,Programming in Python,Nil,none,3,B2,Foundation,Sem_Spread_DS_2026,12
Sem_Spread_DS_2026,S2,COMP201,Data Structures,NIL,none,4,B2,Foundation,Sem_Spread_DS_2026,12
Sem_Spread_DS_2026,S3,COMP202,Theoretical Computer Science,NIL,none,4,B2,Foundation,Sem_Spread_DS_2026,12
Sem_Spread_DS_2026,S4,COMP211,Operating Systems,Nil,none,4,B2,Foundation,Sem_Spread_DS_2026,12
Sem_Spread_DS_2026,S5,COMP206,Microprocessors and Computer Architecture,"COMP204, COMP207",specified,4,B2,Foundation,Sem_Spread_DS_2026,12
Sem_Spread_DS_2026,S1,COMP204,Digital Design and Computer Organization,NIL,none,4,B2,Foundation,Sem_Spread_DS_2026,13
Sem_Spread_DS_2026,S2,DATA132,Data Visualization and Storytelling,DATA103,specified,3,B2,Foundation,Sem_Spread_DS_2026,13
Sem_Spread_DS_2026,S3,COMP203,Analysis of Algorithms,COMP201,specified,4,B2,Foundation,Sem_Spread_DS_2026,13
Sem_Spread_DS_2026,S6,COMP208,Networks,Nil,none,4,B2,Foundation,Sem_Spread_DS_2026,13
Sem_Spread_DS_2026,S2,COMP209,Databases Management,NIL,none,4,B2,Foundation,Sem_Spread_DS_2026,14
Sem_Spread_DS_2026,S4,COMP301,Artificial Intelligence,NIL,none,4,B2,Foundation,Sem_Spread_DS_2026,14
Sem_Spread_DS_2026,S6,COMP302,Internet of Things,"COMP132, COMP201, COMP206, COMP208, COMP301",specified,2,B2,Foundation,Sem_Spread_DS_2026,14
Sem_Spread_DS_2026,S7,TBA,Compiler Design,Nil,none,3,B2,Foundation,Sem_Spread_DS_2026,14
Sem_Spread_DS_2026,S4,COMP205,Object Oriented Programming,NIL,none,3,B2,Foundation,Sem_Spread_DS_2026,15
Sem_Spread_DS_2026,S3,DATA209,Advanced Exploratory Data Analysis,"DATA132, MATH203",specified,4,B4,Program HONORS,Sem_Spread_DS_2026,16
Sem_Spread_DS_2026,S4,MATH301,Optimization Techniques for Data Science,MATH201,specified,4,B4,Program HONORS,Sem_Spread_DS_2026,16
Sem_Spread_DS_2026,S5,DATA301,Machine Learning,"DATA206, MATH301",specified,4,B4,Program HONORS,Sem_Spread_DS_2026,16
Sem_Spread_DS_2026,S6,DATA302,Deep Learning,DATA301,specified,4,B4,Program HONORS,Sem_Spread_DS_2026,16
Sem_Spread_DS_2026,S7,DATA403,Natural Language Processing,DATA302,specified,4,B4,Program HONORS,Sem_Spread_DS_2026,16
Sem_Spread_DS_2026,S1,MGMT101,Essentials of Business Management,Nil,none,2,B6,Open/Minor,Sem_Spread_DS_2026,21
Sem_Spread_DS_2026,S7,DATA802,Inter-Desciplinary Project,NIL,none,4,B6,Open/Minor,Sem_Spread_DS_2026,21
Sem_Spread_DS_2026,S1,PSYC105/ECON106,Introduction to Psychology/Principles of Economics,NIL,none,2,B6,Open/Minor,Sem_Spread_DS_2026,22
Sem_Spread_DS_2026,S5,DATA801,Summer Training/Internship,NIL,none,2,B7,Internship/ Capstone Project,Sem_Spread_DS_2026,23
Sem_Spread_DS_2026,S8,DATA803,Capstone Project/ Industrial Internship,NIL,none,12,B7,Internship/ Capstone Project,Sem_Spread_DS_2026,23
