academic_structure,semester,course_code,course_title,prerequisite,prerequisite_status,credits,basket_code,basket_name,source_sheet,source_row
Sem Spread BTECH-2022,S7,DATA404,SPT-Course #4 (Multi Modal Learning / Cloud Computing),DATA302,specified,4,B5,Specialization Tracks,Sem Spread BTECH-2022,19
Sem Spread BTECH-2022,S7,DATA405,SPT-Course #5 (Reinforcement Learning/ Cognitive Computing),"MATH202,MATH204",specified,4,B5,Specialization Tracks,Sem Spread BTECH-2022,20
Sem Spread BTECH-2022,S5,DATA801,Summer Training/Internship,NIL,none,2,B7,Internship/ Capstone Project,Sem Spread BTECH-2022,22
Sem Spread BTECH-2022,S7,DATA802,Interdisciplinary Project,NIL,none,4,B7,Internship/ Capstone Project,Sem Spread BTECH-2022,22
Sem Spread BTECH-2022,S8,DATA803,Capstone Project/Industrial Internship,NIL,none,12,B7,Internship/ Capstone Project,Sem Spread BTECH-2022,22
Sem_Spread_2023,S1,UCOR103,Communication Skills,NIL,none,2,B1,Univ Core,Sem_Spread_2023,3
Sem_Spread_2023,S2,UCOR203,Leadership and Teamwork Skills,NIL,none,2,B1,Univ Core,Sem_Spread_2023,3
Sem_Spread_2023,S3,UCOR205,Socio Cultural Perspectives on Indian Life-SPIL,NIL,none,3,B1,Univ Core,Sem_Spread_2023,3
Sem_Spread_2023,S1,UCOR104,Problem Solving with Design Thinking,NIL,none,2,B1,Univ Core,Sem_Spread_2023,4
Sem_Spread_2023,S2,UCOR701,Community Engagement & Service Experience,NIL,none,1,B1,Univ Core,Sem_Spread_2023,4
Sem_Spread_2023,S1,UCOR102,Introduction to writing,NIL,none,2,B1,Univ Core,Sem_Spread_2023,5
Sem_Spread_2023,S2,UCOR106,Learning to Learn,NIL,none,2,B1,Univ Core,Sem_Spread_2023,5
Sem_Spread_2023,S3,UCOR201,Introduction to Epistemology,NIL,none,2,B1,Univ Core,Sem_Spread_2023,5
Sem_Spread_2023,S4,UCOR210,Critical Thinking,NIL,none,2,B1,Univ Core,Sem_Spread_2023,5
Sem_Spread_2023,S1,MATH202,Probability Theory,NIL,none,3,B2,Foundation,Sem_Spread_2023,7
Sem_Spread_2023,S2,MATH201,Calculus,NIL,none,3,B2,Foundation,Sem_Spread_2023,7
Sem_Spread_2023,S3,MTSC781,Sustainable Cities and Communities,NIL,none,3,B2,Foundation,Sem_Spread_2023,7
Sem_Spread_2023,S4,SLAD206,Human Values in Work and Life,NIL,none,2,B2,Foundation,Sem_Spread_2023,7
Sem_Spread_2023,S5,LANG101,Language,NIL,none,3,B2,Foundation,Sem_Spread_2023,7
Sem_Spread_2023,S1,COMP132,Design Workshop,NIL,none,2,B2,Foundation,Sem_Spread_2023,8
Sem_Spread_2023,S2,MTSC211,Sustainable Smart Materials,MTSC111,specified,3,B2,Foundation,Sem_Spread_2023,8
Sem_Spread_2023,S3,MATH204,Linear Algebra,NIL,none,3,B2,Foundation,Sem_Spread_2023,8
Sem_Spread_2023,S4,SLAD207,Foundation Seminar,NIL,none,1,B2,Foundation,Sem_Spread_2023,8
Sem_Spread_2023,S1,MTSC111,Materials for Smart Devices,NIL,none,3,B2,Foundation,Sem_Spread_2023,9
Sem_Spread_2023,S2,ENGL201,Academic Writing,UCOR102,specified,3,B2,Foundation,Sem_Spread_2023,9
Sem_Spread_2023,S1,PSYC101/ECON101,Introduction to Psychology/Introduction to Economics,NIL,none,3,B2,Foundation,Sem_Spread_2023,10
Sem_Spread_2023,S1,DATA131,Visualizing Data for Story Telling,NIL,none,2,B2,Foundation,Sem_Spread_2023,11
Sem_Spread_2023,S2,COMP201,Data Structures,NIL,none,4,B3,Program CORE,Sem_Spread_2023,12
Sem_Spread_2023,S3,COMP203,Analysis of Algorithms,COMP201,specified,4,B3,Program CORE,Sem_Spread_2023,12
Sem_Spread_2023,S4,COMP209,Databases Management,NIL,none,4,B3,Program CORE,Sem_Spread_2023,12
Sem_Spread_2023,S5,COMP208,Networks,NIL,none,4,B3,Program CORE,Sem_Spread_2023,12
Sem_Spread_2023,S6,COMP302,Internet of Things,"COMP132, COMP201, COMP206, COMP208, COMP301",specified,2,B3,Program CORE,Sem_Spread_2023,12
Sem_Spread_2023,S2,MATH205,Statistics with R,MATH202,specified,3,B3,Program CORE,Sem_Spread_2023,13
Sem_Spread_2023,S3,COMP202,Theoretical Computer Science,NIL,none,4,B3,Program CORE,Sem_Spread_2023,13
Sem_Spread_2023,S4,COMP204,Digital Design and Computer Organization,NIL,none,4,B3,Program CORE,Sem_Spread_2023,13
Sem_Spread_2023,S5,COMP207,Operating Systems,NIL,none,3,B3,Program CORE,Sem_Spread_2023,13
Sem_Spread_2023,S3,MATH207,Research Methodology,NIL,none,3,B3,Program CORE,Sem_Spread_2023,14
Sem_Spread_2023,S4,COMP301,Artificial Intelligence,NIL,none,4,B3,Program CORE,Sem_Spread_2023,14
Sem_Spread_2023,S5,COMP206,Microprocessors and Computer Architecture,"COMP204, COMP207",specified,4,B3,Program CORE,Sem_Spread_2023,14
Sem_Spread_2023,S4,COMP205,Object Oriented Programming,NIL,none,3,B3,Program CORE,Sem_Spread_2023,15
Sem_Spread_2023,S2,DATA201,Foundations to Data Science,NIL,none,3,B4,Program HONORS,Sem_Spread_2023,16
Sem_Spread_2023,S3,DATA202,Exploratory Data Analysis,"DATA201, MATH203",specified,3,B4,Program HONORS,Sem_Spread_2023,16
Sem_Spread_2023,S4,MATH301,Optimization Techniques for Data Science,MATH201,specified,4,B4,Program HONORS,Sem_Spread_2023,16
Sem_Spread_2023,S5,DATA301,Machine Learning,"DATA202, MATH301",specified,4,B4,Program HONORS,Sem_Spread_2023,16
Sem_Spread_2023,S6,DATA302,Deep Learning,"DATA301, MATH201",specified,4,B4,Program HONORS,Sem_Spread_2023,16
Sem_Spread_2023,S6,DATA303,MLOps & Model Deployment,"DATA301, COMP208",specified,2,B4,Program HONORS,Sem_Spread_2023,17
Sem_Spread_2023,S5,MATH401/COMP401,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2 /Web Framework LTP: 2-0-4,NIL/NIL,specified,4,B5,Specialization Tracks,Sem_Spread_2023,18
Sem_Spread_2023,S6,DATA405/DATA406,SPT-Course #2-Reinforcement Learning/Big Data Framework,"MATH202, MATH204/NIL",specified,4,B5,Specialization Tracks,Sem_Spread_2023,18
Sem_Spread_2023,S7,DATA403,SPT-Course #3 (Natural Language Processing / Natural Language Processing),DATA302,specified,4,B5,Specialization Tracks,Sem_Spread_2023,18
Sem_Spread_2023,S7,DATA404/COMP402,SPT-Course #4 (Multi Modal Learning/ Software Architecture and Deployments),"DATA302/ COMP205, COMP401",specified,4,B5,Specialization Tracks,Sem_Spread_2023,19
Sem_Spread_2023,S7,DATA408/COMP405,SPT-Course #5 Advanced Topics in Deep Learning LTP: 3-0-2/ Cloud &Cognitive Computing LTP: 2-0-4,DATA302,specified,4,B5,Specialization Tracks,Sem_Spread_2023,20
Sem_Spread_2023,S5,DATA801,Summer Training/Internship,NIL,none,2,B7,Internship/ Capstone Project,Sem_Spread_2023,22
Sem_Spread_2023,S7,DATA802,Interdisciplinary Project,NIL,none,4,B7,Internship/ Capstone Project,Sem_Spread_2023,22
Sem_Spread_2023,S8,DATA803,Capstone Project/Industrial Internship,NIL,none,12,B7,Internship/ Capstone Project,Sem_Spread_2023,22
Sem_Spread_2024,S1,UCOR106,Learning to Learn,NIL,none,2,B1,Univ Core,Sem_Spread_2024,3
Sem_Spread_2024,S2,UCOR105,Communication and Leadership Skills,NIL,none,3,B1,Univ Core,Sem_Spread_2024,3
Sem_Spread_2024,S3,UCOR205,Socio Cultural Perspectives on Indian Life-SPIL,NIL,none,3,B1,Univ Core,Sem_Spread_2024,3
Sem_Spread_2024,S4,UCOR310,Critical Thinking,NIL,none,3,B1,Univ Core,Sem_Spread_2024,3
Sem_Spread_2024,S1,UCOR104,Problem Solving with Design Thinking,NIL,none,2,B1,Univ Core,Sem_Spread_2024,4
Sem_Spread_2024,S2,UCOR701,Community Engagement & Service Experience,NIL,none,1,B1,Univ Core,Sem_Spread_2024,4
Sem_Spread_2024,S3,LAWS101,Fundamentals of Indian Constitution and Human Rights,Nil,none,2,B1,Univ Core,Sem_Spread_2024,4
Sem_Spread_2024,S1,UCOR102,Introduction to writing,NIL,none,2,B1,Univ Core,Sem_Spread_2024,5
Sem_Spread_2024,S1,MATH203,Probability and Statistics,NIL,none,4,B2,Foundation,Sem_Spread_2024,7
Sem_Spread_2024,S2,MATH201,Calculus,NIL,none,3,B2,Foundation,Sem_Spread_2024,7
Sem_Spread_2024,S3,MTSC781,Sustainable Cities and Communities,NIL,none,3,B2,Foundation,Sem_Spread_2024,7
Sem_Spread_2024,S4,SLAD206,Human Values in Work and Life,NIL,none,2,B2,Foundation,Sem_Spread_2024,7
Sem_Spread_2024,S6,LANG101,Kannada/ Language,NIL,none,3,B2,Foundation,Sem_Spread_2024,7
Sem_Spread_2024,S1,COMP132,Design Workshop,NIL,none,2,B2,Foundation,Sem_Spread_2024,8
Sem_Spread_2024,S2,MTSC211,Sustainable Smart Materials,MTSC111,specified,3,B2,Foundation,Sem_Spread_2024,8
Sem_Spread_2024,S3,MATH204,Linear Algebra,NIL,none,3,B2,Foundation,Sem_Spread_2024,8
Sem_Spread_2024,S1,MTSC111,Materials for Smart Devices,NIL,none,3,B2,Foundation,Sem_Spread_2024,9
Sem_Spread_2024,S2,ENGL210,Academic Writing,UCOR102,specified,2,B2,Foundation,Sem_Spread_2024,9
Sem_Spread_2024,S1,PSYC101/ECON101,Introduction to Psychology/Introduction to Economics,NIL,none,3,B2,Foundation,Sem_Spread_2024,11
Sem_Spread_2024,S4,COMP403,Cloud Computing,NIL,none,3,B2,Foundation,Sem_Spread_2024,11
Sem_Spread_2024,S1,DATA103,Programming in Python,NIL,none,3,B3,Program CORE,Sem_Spread_2024,12
Sem_Spread_2024,S2,COMP201,Data Structures,NIL,none,4,B3,Program CORE,Sem_Spread_2024,12
Sem_Spread_2024,S3,COMP203,Analysis of Algorithms,COMP201,specified,4,B3,Program CORE,Sem_Spread_2024,12
Sem_Spread_2024,S4,COMP209,Databases Management,NIL,none,4,B3,Program CORE,Sem_Spread_2024,12
Sem_Spread_2024,S5,COMP208,Networks,NIL,none,4,B3,Program CORE,Sem_Spread_2024,12
Sem_Spread_2024,S7,COMP302,Internet of Things,"COMP132, COMP201, COMP206, COMP208, COMP301",specified,2,B3,Program CORE,Sem_Spread_2024,12
Sem_Spread_2024,S2,DATA132,Data visualization and Storytelling,DATA103,specified,3,B3,Program CORE,Sem_Spread_2024,13
Sem_Spread_2024,S3,COMP202,Theoretical Computer Science,NIL,none,4,B3,Program CORE,Sem_Spread_2024,13
Sem_Spread_2024,S4,COMP204,Digital Design and Computer Organization,NIL,none,4,B3,Program CORE,Sem_Spread_2024,13
Sem_Spread_2024,S5,COMP207,Operating Systems,NIL,none,3,B3,Program CORE,Sem_Spread_2024,13
Sem_Spread_2024,S6,COMP206,Microprocessors and Computer Architecture,"COMP204, COMP207",specified,4,B3,Program CORE,Sem_Spread_2024,13
Sem_Spread_2024,S4,COMP301,Artificial Intelligence,NIL,none,4,B3,Program CORE,Sem_Spread_2024,14
Sem_Spread_2024,S5,COMP205,Object Oriented Programming,NIL,none,3,B3,Program CORE,Sem_Spread_2024,15
Sem_Spread_2024,S2,DATA201,Foundations to Data Science,NIL,none,3,B4,Program HONORS,Sem_Spread_2024,16
Sem_Spread_2024,S3,DATA202,Exploratory Data Analysis,"DATA201, MATH203",specified,3,B4,Program HONORS,Sem_Spread_2024,16
Sem_Spread_2024,S4,MATH301,Optimization Techniques for Data Science,NIL,none,4,B4,Program HONORS,Sem_Spread_2024,16
Sem_Spread_2024,S5,DATA301,Machine Learning,"DATA202, MATH301",specified,4,B4,Program HONORS,Sem_Spread_2024,16
Sem_Spread_2024,S6,DATA302,Deep Learning,DATA301,specified,4,B4,Program HONORS,Sem_Spread_2024,16
Sem_Spread_2024,S3,MATH206,Advanced Statistical Analysis and Research Methods with R,MATH203,specified,2,B4,Program HONORS,Sem_Spread_2024,17
Sem_Spread_2024,S5,MATH401/COMP401,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2 /Web Framework LTP: 2-0-4,NIL/NIL,specified,4,B5,Specialization Tracks,Sem_Spread_2024,18
